"","year_name","month_name","depth_cat","avg_bottemp","avg_surftemp"
"1",2007,"Feb","<50",4.11678569657462,3.99028577123369
"2",2007,"Feb",">250",7.05000019073486,7.46000003814697
"3",2007,"Feb","101-250",11.1257141658238,6.61714281354632
"4",2007,"Feb","50-100",5.71195830901464,5.62891670068105
"5",2007,"Mar","<50",4.47439026251072,4.75707313491077
"6",2007,"Mar",">250",8.0766666730245,5.63333344459534
"7",2007,"Mar","101-250",10.3042855943952,5.04714277812413
"8",2007,"Mar","50-100",5.15679999760219,5.23597142355783
"9",2007,"Apr","<50",5.09500002861023,5.13083326816559
"10",2007,"Apr","101-250",7.67999982833862,4.42999982833862
"11",2007,"Apr","50-100",5.09454545107755,5.07363640178334
"12",2007,"Apr",NA,12.0046000480652,5.27235007286072
"13",2007,"May","<50",8.27466665903727,12.4933334350586
"14",2007,"May","101-250",8.48571423121861,11.2728571210589
"15",2007,"May","50-100",6.73719999313355,11.064400062561
"16",2007,"Jul","<50",11.5997141429356,20.0064288548061
"17",2007,"Jul","101-250",9.99874997138977,21.4522495269775
"18",2007,"Jul","50-100",8.83594282695226,19.0522000176566
"19",2007,"Aug","<50",12.5110000133514,17.7465000152588
"20",2007,"Aug","101-250",9.1871427808489,19.1071428571428
"21",2007,"Aug","50-100",9.98864864658665,16.4486485816337
"22",2007,"Sep","<50",17.0665517675465,19.9593102685336
"23",2007,"Sep","50-100",8.78749990463257,20.5774998664856
"24",2007,"Oct","<50",14.7525925812898,15.9359260135227
"25",2007,"Oct","101-250",10.2030769494864,17.3953845684345
"26",2007,"Oct","50-100",10.6838462169354,16.7228205509675
"27",2007,"Oct",NA,9.9690663019816,17.6157995859782
"28",2007,"Nov","<50",14.0950001080831,13.9516666730245
"29",2007,"Nov","101-250",5.74588234284345,10.867647002725
"30",2007,"Nov","50-100",9.6286111805174,11.6408332453834
"31",2008,"Jan","<50",6.06999999826605,5.37909089435231
"32",2008,"Jan","101-250",10.9380001068115,7.99199991226196
"33",2008,"Jan","50-100",6.26388888888889,6.07722221480476
"34",2008,"Feb","<50",5.13750004768372,5.12750005722046
"35",2008,"Feb","101-250",9.4116666316986,8.6916667620341
"36",2008,"Feb","50-100",5.61285706928798,5.54428577423096
"37",2008,"Mar","<50",5.45651512434988,5.47196970563946
"38",2008,"Mar","101-250",12.0780000686646,6.60600018501281
"39",2008,"Mar","50-100",7.31241671244303,5.61550001303355
"40",2008,"Apr","<50",5.31235293781056,5.30470590030446
"41",2008,"Apr",">250",7.67999982833862,7.92000007629395
"42",2008,"Apr","101-250",11.8528571810041,5.90428570338658
"43",2008,"Apr","50-100",5.96342857905797,5.51371428625924
"44",2008,"May","<50",7.98263158296284,8.97526319403397
"45",2008,"May","101-250",7.79715995788574,10.5904799461365
"46",2008,"May","50-100",7.02804401397705,7.66941999435425
"47",2008,"Jun","<50",10.0957142739069,17.7142856083219
"48",2008,"Jun",">250",10.710000038147,15.1000003814697
"49",2008,"Jun","101-250",12.7599999109904,16.1277776294284
"50",2008,"Jun","50-100",8.83711537948021,16.3240384138547
"51",2008,"Jul","<50",8.72428567068917,19.6757143565586
"52",2008,"Jul","50-100",9.97799998692104,18.5625716073172
"53",2008,"Aug","<50",13.2429410710054,17.5629411585191
"54",2008,"Aug","101-250",8.08799982070922,20.9700000762939
"55",2008,"Aug","50-100",9.5402631885127,18.9378948462637
"56",2008,"Sep","<50",17.6987499594688,18.9690627157688
"57",2008,"Sep",">250",10.3900003433228,20.3500003814697
"58",2008,"Sep","101-250",10.5000001192093,19.5975003242493
"59",2008,"Sep","50-100",11.0838094438825,18.8557142530169
"60",2008,"Oct","<50",14.5376190003895,14.8238095783052
"61",2008,"Oct",">250",10.2200002670288,15.5200004577637
"62",2008,"Oct","101-250",8.9300000326974,16.8542856488909
"63",2008,"Oct","50-100",13.4546666675144,15.3346666124132
"64",2008,"Nov","<50",13.3474999666214,13.3775000572205
"65",2008,"Nov","101-250",10.5456520785456,14.586956480275
"66",2008,"Nov","50-100",12.5375862943715,13.1520689273703
"67",2009,"Jan","<50",6.05999994277954,5.45599999427795
"68",2009,"Jan","101-250",14.4866669972738,7.16000000635783
"69",2009,"Jan","50-100",8.63285718645367,6.10999999727521
"70",2009,"Feb","<50",4.22714282785143,4.07428571156093
"71",2009,"Feb","101-250",13.4099998474121,5.21000003814697
"72",2009,"Feb","50-100",5.5680000100817,5.21189288582121
"73",2009,"Mar","<50",4.2962647115483,4.41538236421697
"74",2009,"Mar",">250",12.8199996948242,10.289999961853
"75",2009,"Mar","101-250",10.9611666202545,6.74283329645792
"76",2009,"Mar","50-100",4.73615382267879,4.56569224137526
"77",2009,"Apr","<50",4.92666657765706,5.06666660308838
"78",2009,"Apr",">250",6.73000001907349,16.6900005340576
"79",2009,"Apr","101-250",12.0880000114441,7.94500007629395
"80",2009,"Apr","50-100",5.63800004323324,5.14733336766561
"81",2009,"May","<50",5.74000000953674,11.4616667429606
"82",2009,"May","101-250",10.3766665458679,12.2166665395101
"83",2009,"May","50-100",6.41799993515015,10.4671999740601
"84",2009,"Jun","<50",9.32913040078204,11.702608730482
"85",2009,"Jun","101-250",8.81714296340942,13.805714062282
"86",2009,"Jun","50-100",7.70818177136508,12.1521211681944
"87",2009,"Jul","<50",10.2950000762939,13.7149996757507
"88",2009,"Jul","50-100",7.76999998092652,12.2025003433228
"89",2009,"Aug","<50",13.6779999732971,19.4765002727509
"90",2009,"Aug",">250",12.2371429034642,23.0671424865723
"91",2009,"Aug","101-250",11.3099999427796,22.4550002415975
"92",2009,"Aug","50-100",NA,NA
"93",2009,"Aug",NA,12.0179004669189,23.1060009002686
"94",2009,"Sep","<50",17.7535000801086,18.8855001449585
"95",2009,"Sep","50-100",13.1000001089914,17.3657143456595
"96",2009,"Sep",NA,13.0113501548767,24.5275506973266
"97",2009,"Oct","<50",15.0996152804448,15.4165384952839
"98",2009,"Oct",">250",8.875,18.9200000762939
"99",2009,"Oct","101-250",10.7834782807723,17.7578262246173
"100",2009,"Oct","50-100",12.1542000293732,15.1131999397278
"101",2009,"Nov","<50",12.9557142711821,12.6423809414818
"102",2009,"Nov","101-250",12.8733332951864,17.3816668192546
"103",2009,"Nov","50-100",14.5599999592222,13.9427586588366
"104",2010,"Feb","<50",4.09133334159851,3.81933340231578
"105",2010,"Feb",">250",11.8349995613098,9.57000017166138
"106",2010,"Feb","101-250",7.96333328882852,6.47999986012777
"107",2010,"Feb","50-100",6.77062505483627,5.55750003457069
"108",2010,"Mar","<50",4.11402629551135,4.71102630464654
"109",2010,"Mar","101-250",11.625,7.19500001271566
"110",2010,"Mar","50-100",5.91599998209212,6.06033331818051
"111",2010,"Apr","<50",7.01000006993612,7.09666665395101
"112",2010,"Apr","101-250",11.0784615736741,10.0515385407668
"113",2010,"Apr","50-100",6.61827590547759,6.61620690904815
"114",2010,"May","<50",8.59928573880876,12.7892856938498
"115",2010,"May","50-100",6.98615374931922,11.6915385906513
"116",2010,"Jun","<50",8.94142852510724,13.207857131958
"117",2010,"Jun","101-250",10.0753844701327,13.3953845684345
"118",2010,"Jun","50-100",8.47059698958895,12.4595523094063
"119",2010,"Aug","<50",16.0899998346964,16.6900002161662
"120",2010,"Aug","101-250",9.85444439782038,19.5900000466241
"121",2010,"Aug","50-100",11.7926667531331,19.6773334503174
"122",2010,"Sep","<50",16.5281249284744,19.0950001478195
"123",2010,"Sep","50-100",10.6442856107439,21.0142857687814
"124",2010,"Oct","<50",16.3624999523163,16.5610714299338
"125",2010,"Oct",">250",11.5699996948242,16.0599994659424
"126",2010,"Oct","101-250",12.4669999599457,15.6704999446869
"127",2010,"Oct","50-100",13.0193939497977,15.311515230121
"128",2010,"Oct",NA,12.7802000045777,18.58096631368
"129",2010,"Nov","<50",11.6993750333786,11.8543751239777
"130",2010,"Nov",">250",10.3766665458679,17.693333307902
"131",2010,"Nov","101-250",12.1250000596046,14.9899998903275
